[86.8 minutes]	Chunk 15: (pM50~GTSP2160~1) 203171 reads pass barcode filter.
[86.9 minutes]	Chunk 15: (pM50~GTSP2160~1) 12552 reads pass linker code filter.
[86.9 minutes]	Chunk 15: (pM50~GTSP2160~1) 12369 reads pass all demultiplexing filters.
[87.0 minutes]	Chunk 15: (pM50~GTSP2160~1) 74 reads aligned to the vector and will be removed.
[87.0 minutes]	Chunk 15: (pM50~GTSP2160~1) 12339 reads remain after removing vector aligned reads and synchronizing.
[87.0 minutes]	Chunk 15: (pM50~GTSP2160~1) 729 reads removed by virus read start test filter (10 NTs).
[87.0 minutes]	Chunk 15: (pM50~GTSP2160~1) 729 reads removed after all filters.
[87.3 minutes]	Chunk 15: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.3 minutes]	Chunk 15: (pM50~GTSP2160~1) captured random linker ids.
[87.4 minutes]	Chunk 15: (6569) reads remaining after read length filters.
[87.4 minutes]	Chunk 15: (pM50~GTSP2160~1) completed with 6569 reads.
[87.8 minutes]	Chunk 15: (pM50~GTSP2161~1) 203171 reads pass barcode filter.
[87.9 minutes]	Chunk 15: (pM50~GTSP2161~1) 9380 reads pass linker code filter.
[87.9 minutes]	Chunk 15: (pM50~GTSP2161~1) 9270 reads pass all demultiplexing filters.
[88.0 minutes]	Chunk 15: (pM50~GTSP2161~1) 100 reads aligned to the vector and will be removed.
[88.0 minutes]	Chunk 15: (pM50~GTSP2161~1) 9230 reads remain after removing vector aligned reads and synchronizing.
[88.0 minutes]	Chunk 15: (pM50~GTSP2161~1) 572 reads removed by virus read start test filter (10 NTs).
[88.0 minutes]	Chunk 15: (pM50~GTSP2161~1) 572 reads removed after all filters.
[88.3 minutes]	Chunk 15: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.3 minutes]	Chunk 15: (pM50~GTSP2161~1) captured random linker ids.
[88.3 minutes]	Chunk 15: (4588) reads remaining after read length filters.
[88.3 minutes]	Chunk 15: (pM50~GTSP2161~1) completed with 4588 reads.
[88.8 minutes]	Chunk 15: (pM50~GTSP2162~1) 203171 reads pass barcode filter.
[88.8 minutes]	Chunk 15: (pM50~GTSP2162~1) 9322 reads pass linker code filter.
[88.8 minutes]	Chunk 15: (pM50~GTSP2162~1) 9204 reads pass all demultiplexing filters.
[88.9 minutes]	Chunk 15: (pM50~GTSP2162~1) 119 reads aligned to the vector and will be removed.
[88.9 minutes]	Chunk 15: (pM50~GTSP2162~1) 9157 reads remain after removing vector aligned reads and synchronizing.
[88.9 minutes]	Chunk 15: (pM50~GTSP2162~1) 563 reads removed by virus read start test filter (10 NTs).
[88.9 minutes]	Chunk 15: (pM50~GTSP2162~1) 563 reads removed after all filters.
[89.2 minutes]	Chunk 15: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[89.2 minutes]	Chunk 15: (pM50~GTSP2162~1) captured random linker ids.
[89.3 minutes]	Chunk 15: (5590) reads remaining after read length filters.
[89.3 minutes]	Chunk 15: (pM50~GTSP2162~1) completed with 5590 reads.
[89.7 minutes]	Chunk 15: (pM66~GTSP2163~1) 203171 reads pass barcode filter.
[89.8 minutes]	Chunk 15: (pM66~GTSP2163~1) 6091 reads pass linker code filter.
[89.8 minutes]	Chunk 15: (pM66~GTSP2163~1) 6018 reads pass all demultiplexing filters.
[89.8 minutes]	Chunk 15: (pM66~GTSP2163~1) 29 reads aligned to the vector and will be removed.
[89.8 minutes]	Chunk 15: (pM66~GTSP2163~1) 5999 reads remain after removing vector aligned reads and synchronizing.
[89.8 minutes]	Chunk 15: (pM66~GTSP2163~1) 312 reads removed by virus read start test filter (10 NTs).
[89.8 minutes]	Chunk 15: (pM66~GTSP2163~1) 312 reads removed after all filters.
[90.0 minutes]	Chunk 15: (pM66~GTSP2163~1) 2 reads remaining after LTR/ITR capture.
[90.0 minutes]	Chunk 15: (pM66~GTSP2163~1) captured random linker ids.
[90.0 minutes]	Chunk 15: (2961) reads remaining after read length filters.
[90.0 minutes]	Chunk 15: (pM66~GTSP2163~1) completed with 2961 reads.
